t,px,py,pz,vx,vy,vz,qw,qx,qy,qz,wx,wy,wz,omega_0,servo_0_0,omega_1,servo_1_0,omega_2,servo_2_0,omega_3,servo_3_0
13.30999999999976,0.1961590713113681,0.21704410310520533,1.3697717326011754,-0.2091492456396562,-0.04540880356646293,-0.2277112620192841,-0.7972594013105925,-0.006183014930201896,0.04526518034876933,0.6019055413585697,-0.026072173029665108,-0.08260048409527458,-0.7817252615023044,1.9219217712924317,-0.04980151395093296,1.9295612189511426,0.16616874098159704,1.9138525701038078,0.04980151395093296,1.9020366320800626,-0.16616874098159704
13.31999999999976,0.19407038696346135,0.21660257741367234,1.3674933334564352,-0.20858970869519067,-0.042893195221942564,-0.22796863572564113,-0.7948806883290038,-0.006009686918176394,0.04549213124788228,0.6050281323221052,-0.025216949614199975,-0.08229770338571345,-0.7830895035707096,1.9171991042277383,-0.049984177941634116,1.9380651399257927,0.1667951795580514,1.9091402508776558,0.049984177941634116,1.9132931396424235,-0.1667951795580514
13.32999999999976,0.19198761774730547,0.21618607832682257,1.3652135748227574,-0.207966333164432,-0.040403552981714615,-0.22798315494124535,-0.7924846058638585,-0.005837120727790494,0.0457203084784586,0.6081477869769139,-0.02543749755710608,-0.08311557829882758,-0.7850061087765071,1.912627013485641,-0.05020721757414701,1.9460778133878134,0.16741989890217782,1.9044923604271329,0.05020721757414701,1.9239893229362661,-0.16741989890217782
13.33999999999976,0.18991139347052965,0.21579435588595286,1.3629347983871556,-0.20728072060921604,-0.03793773312245927,-0.22777219716518132,-0.790069227285784,-0.005658257275696027,0.045950872350721005,0.6112668136523428,-0.026575619464079592,-0.08493800268689189,-0.7874636092069934,1.9082103449824168,-0.05046164328113328,1.9537713471012292,0.16804162281363647,1.8999267854188098,0.05046164328113328,1.933987462835819,-0.16804162281363647
13.34999999999976,0.1878423299426976,0.2154271848574476,1.360659176964199,-0.20653408922484132,-0.0354929691171041,-0.2273521584231155,-0.7876326269368492,-0.005467303337610016,0.04618489134368195,0.6143874260693608,-0.028394448673154164,-0.0875576846805173,-0.7904660514846579,1.9039373473200574,-0.05073570646443841,1.9612810725936034,0.16865957146978697,1.8954515304176396,0.05073570646443841,1.9432088380483052,-0.16865957146978697
13.35999999999976,0.18578103237494095,0.21508436925541102,1.3583887239959707,-0.20572736868143468,-0.033066226481854866,-0.22673851582733892,-0.7851728569019554,-0.005260187884339656,0.04642325263930234,0.6175117786277161,-0.030618496309887014,-0.09071423316286112,-0.794027976858404,1.8997838191643572,-0.05101672890923303,1.9686987939882898,0.16927345369965888,1.8910658633892323,0.05101672890923303,1.9516348385142266,-0.16927345369965888
13.36999999999976,0.1837280977163223,0.21476574341202523,1.3561253025070374,-0.2048613135773248,-0.03065453054842275,-0.22594587422663032,-0.7826879316343448,-0.005034748133775774,0.04666660878738813,0.6206419906283626,-0.032971691302039106,-0.09413208108741078,-0.7981690631690582,1.8957180637429192,-0.051292740473257444,1.9760719912038425,0.1698834102103201,1.8867621710219737,0.051292740473257444,1.959301095675492,-0.1698834102103201
13.37999999999976,0.1816841158219308,0.2144711700330712,1.3538706336555593,-0.20393661944710884,-0.028255234443758034,-0.22498800051870882,-0.7801758211150905,-0.004790667730750779,0.04691535878807281,0.6237801589353991,-0.03520930299387299,-0.09755396329330022,-0.802909095194857,1.891705961202965,-0.05155377056041086,1.9834080894847994,0.17048991963141405,1.882528205473647,0.05155377056041086,1.9662864172636412,-0.17048991963141405
13.389999999999759,0.17964966950148858,0.21420053594790447,1.3516263049732715,-0.20295402710293192,-0.025866206360442734,-0.22387785172146535,-0.7776344520370199,-0.004529214425698039,0.04716965864680842,0.6269283598996207,-0.03714100764962655,-0.10076686304649494,-0.8082637870886139,1.8877155489343425,-0.05179270289465551,1.9906824558563825,0.17109368201865802,1.878349408539716,0.05179270289465551,1.9726985957151233,-0.17109368201865802
13.399999999999759,0.17762533362456984,0.21395374641165535,1.3493937783267151,-0.2019144043978431,-0.023485927793159576,-0.2226276027715587,-0.7750617155418346,-0.004252840069711823,0.04742945442904898,0.6300886423565144,-0.0386438448899941,-0.10361870786355071,-0.814241799446841,1.8837206437445289,-0.05200566736612216,1.9978485716352208,0.1716954952597993,1.8742110435504469,0.05200566736612216,1.9786591868363115,-0.1716954952597993
